redshift,norm(psf_u),norm(psf_g),norm(psf_r),norm(psf_i),norm(psf_z),norm(model_u),norm(model_g),norm(model_r),norm(model_i),norm(model_z)
0.3984061,0.376969019697,0.490427600806,0.518303422751,0.486946908694,0.558504193226,0.389864086373,0.404094572717,0.433127203512,0.372722382948,0.46634208389
0.9785587,0.453930131166,0.547789536609,0.555669221025,0.530337109322,0.62475205741,0.452255997259,0.455277001684,0.468429950947,0.412958560233,0.5272176225
1.444914,0.425426508532,0.533385650717,0.549183205643,0.500098949092,0.586683082473,0.428505137826,0.442911636155,0.461760986591,0.387499641947,0.493657007556
1.935515,0.472868492063,0.589673635273,0.611404275137,0.574513443428,0.661661796945,0.467680035105,0.489993336451,0.515150051969,0.44568410466,0.559774531404
0.8594188,0.472580987287,0.556951117103,0.574008392711,0.554863518493,0.643174287814,0.465836800398,0.462316387903,0.483696033152,0.430511660869,0.543073108475
0.08373255,0.284676291055,0.421811173492,0.443512297986,0.368664528456,0.462304871307,0.307498128606,0.324447341222,0.332583904855,0.251668528544,0.339756642723
3.356195,0.669349551855,0.581142839398,0.572771741993,0.53692575406,0.629433474629,0.62664113593,0.483234748087,0.482189020427,0.41679742244,0.530765278278
3.845187,0.725455850279,0.713837926524,0.6709318528,0.638695236795,0.758226249322,0.671943527325,0.59281935086,0.564881471879,0.495795658166,0.642353448175
1.516263,0.539733677452,0.635266747493,0.652960731923,0.618634502525,0.725935517674,0.518168944018,0.526795135285,0.549766957046,0.47806963103,0.612543685768
0.5508068,0.396390743381,0.497377876863,0.532994090768,0.491931895728,0.598261089511,0.405387267014,0.412561708029,0.448294766925,0.381545878037,0.504562104848
2.431408,0.497293833577,0.567195706265,0.588706741788,0.564087621127,0.645597491518,0.48817854151,0.471442858177,0.496025497529,0.437916734299,0.546307067748
1.748196,0.44114392903,0.563291311217,0.592052483661,0.549880578682,0.655639655119,0.44129338524,0.467185530703,0.498353139309,0.427578275764,0.553996622391
0.5869554,0.488556349088,0.574341363815,0.60027569886,0.559305309131,0.660466694112,0.479758443564,0.475982063497,0.503361358321,0.431137060695,0.553560762276
0.1221209,0.389158039676,0.514751302651,0.522724513074,0.454155179473,0.549706629514,0.363578339235,0.362635309466,0.359870903574,0.279508103675,0.368053786366
1.70448,0.526681404058,0.621658620658,0.643326121884,0.611035894636,0.721460696863,0.508682327709,0.515466561835,0.54101935445,0.474309275332,0.608712413971
3.693176,0.6279747321,0.641531894411,0.617864686984,0.562902961649,0.62844209881,0.516192541177,0.443555311237,0.422320449908,0.342205099316,0.425892423585
0.4230638,0.603826548147,0.678987561574,0.656489539068,0.598659069196,0.678992222721,0.567826578717,0.557701259162,0.543188391801,0.453453066369,0.5615308635
0.4200298,0.400871826823,0.513828092753,0.55240221002,0.521181247441,0.599098235373,0.406402160726,0.424232098867,0.460319472623,0.398283147517,0.49951288028
1.963448,0.351175628464,0.4783857607,0.503659481184,0.462837450525,0.55094764266,0.369297529291,0.395851535694,0.422649026318,0.358572645574,0.461453083956
0.1155429,0.444904402814,0.540071320714,0.537888206391,0.476040671489,0.560702866805,0.382668900606,0.361222140263,0.351907662126,0.275068242314,0.356723878934
1.999517,0.473154518666,0.57932941449,0.609031467576,0.574214548929,0.666269327255,0.467478816294,0.481544561,0.513065459295,0.445600293657,0.564353518158
1.954957,0.453533241539,0.565178489403,0.595159472575,0.566360720622,0.659822515034,0.45166231377,0.469323374369,0.500888644914,0.439115019462,0.557075268131
3.85395,0.8695142204,0.665296624041,0.617852525305,0.591393476184,0.697651178177,0.79167810622,0.554620582699,0.52088200518,0.459672054972,0.59089310193
3.173751,0.661147905317,0.603100613705,0.620180526681,0.589209772076,0.69019003498,0.62065326303,0.502163763469,0.522234743973,0.456869690865,0.581806953258
0.8950884,0.591307895443,0.659928808678,0.647016871385,0.609542786952,0.693098883712,0.561355311355,0.547194019438,0.543638222108,0.471065046886,0.583118830814
1.686504,0.384257154915,0.497704590947,0.521069244567,0.475464037123,0.57015250043,0.395234223389,0.412627587525,0.438701093607,0.370535340129,0.480772123124
2.500252,0.658456151087,0.705941150059,0.693235091718,0.666336836359,0.736362897495,0.621215267756,0.587338932731,0.584691327364,0.516475757933,0.621780850762
0.6903347,0.462853865535,0.568976783244,0.608450267343,0.582767162549,0.695294687897,0.457052983318,0.47146067804,0.510202459906,0.450106461192,0.585255159264
1.511941,0.449557693487,0.558411949584,0.582714234535,0.545660570493,0.645852867633,0.447717134456,0.463307280332,0.490257276411,0.423076351824,0.544639749337
2.10812,0.455732763941,0.555261908243,0.58026461637,0.550040944452,0.632937005384,0.451423549758,0.461449694524,0.487191285006,0.426953406387,0.532031114273
0.7224662,0.504095649661,0.582799700329,0.593214884128,0.568965470179,0.654783140844,0.490325657686,0.483245548004,0.498760747277,0.440226841375,0.551544755774
0.4832416,0.364468844164,0.474503362244,0.507386075633,0.465421045448,0.551594691132,0.379411267784,0.393391854486,0.425410800355,0.358916376776,0.462869936272
1.622677,0.407671425647,0.521188540552,0.550804549466,0.512095673536,0.604905172607,0.41428723956,0.432236997709,0.463603612782,0.396986198768,0.510023247919
2.969595,0.652726010904,0.614236711794,0.642636106629,0.627357035622,0.736756004549,0.612129329138,0.510430560311,0.540376817056,0.486524463795,0.622713345853
1.299023,0.416906315571,0.539891466228,0.552065523541,0.524052135936,0.629746955985,0.422303726596,0.448120976356,0.464392845739,0.407712415804,0.530718622829
0.953236,0.502481484027,0.570458318399,0.580644188769,0.562695509758,0.647524289963,0.489240366723,0.473764300441,0.4884092371,0.435803954394,0.546922183008
0.4356003,0.413321744452,0.524294588709,0.559040566432,0.523536918248,0.605824096214,0.410616022884,0.427068157199,0.455977067424,0.389667588588,0.491314412912
